"title","date","link","nrec"
"[新聞] 祭改無效？台積電嘉科廠再爆翻車事故","7/26","https://www.ptt.cc/bbs/Stock/M.1753520632.A.CD4.html","37"
"[新聞] 投票日「關稅仍受關注」卓榮泰：持續談判","7/26","https://www.ptt.cc/bbs/Stock/M.1753521254.A.97D.html","83"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753521508.A.EAF.html","13"
"Re: [心得] 正二真的適合長期嗎?","7/26","https://www.ptt.cc/bbs/Stock/M.1753521906.A.197.html","47"
"Re: [新聞] 投票日「關稅仍受關注」卓榮泰：持續談判","7/26","https://www.ptt.cc/bbs/Stock/M.1753523056.A.F46.html","X1"
"Re: [新聞] 投票日「關稅仍受關注」卓榮泰：持續談判","7/26","https://www.ptt.cc/bbs/Stock/M.1753523940.A.A90.html","9"
"[新聞] 飯店備品一包680元！國旅人次創新高「住2","7/25","https://www.ptt.cc/bbs/Stock/M.1753448097.A.358.html","98"
"[新聞] 金融時報：中國黑市交易輝達B200晶片　如","7/25","https://www.ptt.cc/bbs/Stock/M.1753450286.A.67D.html","29"
"[新聞] 美股空頭繳械了 VIX恐慌指數跌至5個月低","7/25","https://www.ptt.cc/bbs/Stock/M.1753451652.A.D28.html","52"
"[創作] 往後餘生 要特斯拉","7/25","https://www.ptt.cc/bbs/Stock/M.1753452408.A.FF8.html","3"
"[新聞] 台積電美國廠晶片貴2成 AMD蘇姿丰喊值得","7/25","https://www.ptt.cc/bbs/Stock/M.1753453136.A.699.html","30"
"[情報] 114年07月25日信用交易統計","7/25","https://www.ptt.cc/bbs/Stock/M.1753453350.A.0E9.html","6"
"[新聞] 美國關稅收入創新高 川普考慮發放「關稅","7/25","https://www.ptt.cc/bbs/Stock/M.1753453898.A.472.html","爆"
"[情報] 0725 上市櫃外資投信買超金額排行","7/25","https://www.ptt.cc/bbs/Stock/M.1753454910.A.639.html","1"
"Re: [新聞] 美國關稅收入創新高 川普考慮發放「關稅","7/25","https://www.ptt.cc/bbs/Stock/M.1753455860.A.6E8.html","48"
"[標的] 2615萬海 準備帶頭噴出多","7/25","https://www.ptt.cc/bbs/Stock/M.1753455951.A.BB3.html","X2"
"[新聞] American Eagle合作當紅女星 搭上迷因股列車","7/25","https://www.ptt.cc/bbs/Stock/M.1753456400.A.25E.html","17"
"[情報] 0725 上市櫃股票週轉率排行","7/25","https://www.ptt.cc/bbs/Stock/M.1753456678.A.030.html",""
